"","X","AllScores","AllAiScores","AllScores_flat","filename","orig","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore","max_kaiscore","min_kaiscore","true_range"
"118",37,-15.6738304087622,40,-15.6738304087622,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"119",38,-15.963948001117,40,-15.963948001117,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"120",39,-15.5287084033597,40,-15.5287084033597,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"121",40,-15.8915615073049,40,-15.8915615073049,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"122",41,-15.2731202681975,40,-15.2731202681975,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"123",42,-14.4176294797635,40,-14.4176294797635,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"124",43,-15.4989019267647,40,-15.4989019267647,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"125",44,-15.5411228344558,40,-15.5411228344558,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"126",45,-14.929844016457,40,-14.929844016457,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"127",46,-15.1986389980121,40,-15.1986389980121,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"128",47,-15.897690610805,40,-15.897690610805,"results/rawdata/Beam_ai120.csv",1,"120","40",40,120,-15.4775236570505,0.794747880650701,-14.1255043858993,120,140,100,40
"129",48,-14.15848982669,60,-14.15848982669,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"130",49,-15.3505712908369,60,-15.3505712908369,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"131",50,-16.33180664533,60,-16.33180664533,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"132",51,-15.9503467531297,60,-15.9503467531297,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"133",52,-15.4267742027817,60,-15.4267742027817,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"134",53,-15.1387135398463,60,-15.1387135398463,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"135",54,-15.859555629275,60,-15.859555629275,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"136",55,-14.8530248071391,60,-14.8530248071391,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"137",56,-15.3367319631755,60,-15.3367319631755,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"138",57,-14.2636802819832,60,-14.2636802819832,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"139",58,-16.2576725223614,60,-16.2576725223614,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"140",59,-15.0417074215704,60,-15.0417074215704,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"141",60,-15.9631467392541,60,-15.9631467392541,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"142",61,-15.7888470960495,60,-15.7888470960495,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"143",62,-16.5256264087789,60,-16.5256264087789,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"144",63,-15.9643570477261,60,-15.9643570477261,"results/rawdata/Beam_ai120.csv",1,"120","60",60,120,-15.4752458178027,0.667314055157332,-14.15848982669,120,150,90,60
"145",64,-15.7222712624543,80,-15.7222712624543,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"146",65,-16.1148208764181,80,-16.1148208764181,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"147",66,-15.2720335595586,80,-15.2720335595586,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"148",67,-15.4676137434372,80,-15.4676137434372,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"149",68,-15.2605219554022,80,-15.2605219554022,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"150",69,-15.5611602688129,80,-15.5611602688129,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"151",70,-15.0930160565007,80,-15.0930160565007,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
"152",71,-16.5535576101109,80,-16.5535576101109,"results/rawdata/Beam_ai120.csv",1,"120","80",80,120,-15.4724752039578,0.742218178315879,-14.1600812531195,115,150,80,70
